Unnamed: 1_level_0 PF,Unnamed: 2_level_0 Yds,Tot Yds & TO TO,Unnamed: 6_level_0 FL,Unnamed: 7_level_0 1stD,Passing Att,Passing Yds,Passing TD,Passing Int,Passing NY/A,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A
18,18,22,7,17,8,19,23,24,25.0,15,9,2,9.0
12,7,16,5,4,15,18,22,21,9.0,7,3,4,4.0
