Date,result,location,Opp
1981-09-13,L,@,San Francisco 49ers
1981-09-20,W,,Tampa Bay Buccaneers
1981-09-28,L,,Los Angeles Rams
1981-10-04,L,@,Minnesota Vikings
1981-10-11,L,,Washington Redskins
1981-10-19,L,@,Detroit Lions
1981-10-25,W,,San Diego Chargers
1981-11-01,L,@,Tampa Bay Buccaneers
1981-11-08,W,@,Kansas City Chiefs
1981-11-15,L,@,Green Bay Packers
1981-11-22,L,,Detroit Lions
1981-11-26,L,@,Dallas Cowboys
1981-12-06,W,,Minnesota Vikings
1981-12-13,W,@,Oakland Raiders
1981-12-20,W,,Denver Broncos
1982-09-12,L,@,Detroit Lions
1982-09-19,L,,New Orleans Saints
1982-11-21,W,,Detroit Lions
1982-11-28,L,@,Minnesota Vikings
1982-12-05,W,,New England Patriots
1982-12-12,L,@,Seattle Seahawks
1982-12-19,L,,St. Louis Cardinals
1982-12-26,W,@,Los Angeles Rams
1982-01-02,L,@,Tampa Bay Buccaneers
1983-09-04,L,,Atlanta Falcons
1983-09-11,W,,Tampa Bay Buccaneers
1983-09-18,L,OT,New Orleans Saints
1983-09-25,L,OT,Baltimore Colts
1983-10-02,W,,Denver Broncos
1983-10-09,L,,Minnesota Vikings
1983-10-16,L,,Detroit Lions
1983-10-23,W,,Philadelphia Eagles
1983-10-30,L,,Detroit Lions
1983-11-06,L,,Los Angeles Rams
1983-11-13,W,,Philadelphia Eagles
1983-11-20,W,,Tampa Bay Buccaneers
1983-11-27,W,,San Francisco 49ers
1983-12-04,L,,Green Bay Packers
1983-12-11,W,,Minnesota Vikings
1983-12-18,W,,Green Bay Packers
1984-09-02,W,,Tampa Bay Buccaneers
1984-09-09,W,,Denver Broncos
1984-09-16,W,@,Green Bay Packers
1984-09-23,L,@,Seattle Seahawks
1984-09-30,L,,Dallas Cowboys
1984-10-07,W,,New Orleans Saints
1984-10-14,L,@,St. Louis Cardinals
1984-10-21,W,@,Tampa Bay Buccaneers
1984-10-28,W,,Minnesota Vikings
1984-11-04,W,,Los Angeles Raiders
1984-11-11,L,@,Los Angeles Rams
1984-11-18,W,,Detroit Lions
1984-11-25,W,@,Minnesota Vikings
1984-12-03,L,@,San Diego Chargers
1984-12-09,L,,Green Bay Packers
1984-12-16,W,@,Detroit Lions
1985-09-08,W,,Tampa Bay Buccaneers
1985-09-15,W,,New England Patriots
1985-09-19,W,,Minnesota Vikings
1985-09-29,W,,Washington Redskins
1985-10-06,W,,Tampa Bay Buccaneers
1985-10-13,W,,San Francisco 49ers
1985-10-21,W,,Green Bay Packers
1985-10-27,W,,Minnesota Vikings
1985-11-03,W,,Green Bay Packers
1985-11-10,W,,Detroit Lions
1985-11-17,W,,Dallas Cowboys
1985-11-24,W,,Atlanta Falcons
1985-12-02,L,,Miami Dolphins
1985-12-08,W,,Indianapolis Colts
1985-12-14,W,,New York Jets
1985-12-22,W,,Detroit Lions
1986-09-07,W,,Cleveland Browns
1986-09-14,W,OT,Philadelphia Eagles
1986-09-22,W,,Green Bay Packers
1986-09-28,W,,Cincinnati Bengals
1986-10-05,W,,Minnesota Vikings
1986-10-12,W,,Houston Oilers
1986-10-19,L,,Minnesota Vikings
1986-10-26,W,,Detroit Lions
1986-11-03,L,,Los Angeles Rams
1986-11-09,W,,Tampa Bay Buccaneers
1986-11-16,W,,Atlanta Falcons
1986-11-23,W,,Green Bay Packers
1986-11-30,W,OT,Pittsburgh Steelers
1986-12-07,W,,Tampa Bay Buccaneers
1986-12-15,W,,Detroit Lions
1986-12-21,W,,Dallas Cowboys
1987-09-14,W,,New York Giants
1987-09-20,W,,Tampa Bay Buccaneers
1987-10-04,W,@,Philadelphia Eagles
1987-10-11,W,,Minnesota Vikings
1987-10-18,L,,New Orleans Saints
1987-10-25,W,@,Tampa Bay Buccaneers
1987-11-01,W,,Kansas City Chiefs
1987-11-08,W,@,Green Bay Packers
1987-11-16,L,@,Denver Broncos
1987-11-22,W,,Detroit Lions
1987-11-29,W,,Green Bay Packers
1987-12-06,W,@,Minnesota Vikings
1987-12-14,L,@,San Francisco 49ers
1987-12-20,L,,Seattle Seahawks
1987-12-27,W,@,Los Angeles Raiders
1988-09-04,W,,Miami Dolphins
1988-09-11,W,@,Indianapolis Colts
1988-09-18,L,,Minnesota Vikings
1988-09-25,W,@,Green Bay Packers
1988-10-02,W,,Buffalo Bills
1988-10-09,W,@,Detroit Lions
