Date,result,location,Opp
2014-12-28,L,@,Minnesota Vikings
2015-09-13,L,,Green Bay Packers
2015-09-20,L,,Arizona Cardinals
2015-09-27,L,@,Seattle Seahawks
2015-10-04,W,,Oakland Raiders
2015-10-11,W,@,Kansas City Chiefs
2015-10-18,L,@,Detroit Lions
2015-11-01,L,,Minnesota Vikings
2015-11-09,W,@,San Diego Chargers
2015-11-15,W,@,St. Louis Rams
2015-11-22,L,,Denver Broncos
2015-11-26,W,@,Green Bay Packers
2015-12-06,L,,San Francisco 49ers
2015-12-13,L,,Washington Redskins
2015-12-20,L,@,Minnesota Vikings
2015-12-27,W,@,Tampa Bay Buccaneers
2015-01-03,L,,Detroit Lions
2016-09-11,L,@,Houston Texans
2016-09-19,L,,Philadelphia Eagles
2016-09-25,L,@,Dallas Cowboys
2016-10-02,W,,Detroit Lions
2016-10-09,L,@,Indianapolis Colts
2016-10-16,L,,Jacksonville Jaguars
2016-10-20,L,@,Green Bay Packers
2016-10-31,W,,Minnesota Vikings
2016-11-13,L,@,Tampa Bay Buccaneers
2016-11-20,L,@,New York Giants
2016-11-27,L,,Tennessee Titans
2016-12-04,W,,San Francisco 49ers
2016-12-11,L,@,Detroit Lions
2016-12-18,L,,Green Bay Packers
2016-12-24,L,,Washington Redskins
2016-01-01,L,@,Minnesota Vikings
2017-09-10,L,,Atlanta Falcons
2017-09-17,L,@,Tampa Bay Buccaneers
2017-09-24,W,,Pittsburgh Steelers
2017-09-28,L,@,Green Bay Packers
2017-10-09,L,,Minnesota Vikings
2017-10-15,W,@,Baltimore Ravens
2017-10-22,W,,Carolina Panthers
2017-10-29,L,@,New Orleans Saints
2017-11-12,L,,Green Bay Packers
2017-11-19,L,,Detroit Lions
2017-11-26,L,@,Philadelphia Eagles
2017-12-03,L,,San Francisco 49ers
2017-12-10,W,@,Cincinnati Bengals
2017-12-16,L,@,Detroit Lions
2017-12-24,W,,Cleveland Browns
2017-12-31,L,@,Minnesota Vikings
2018-09-09,L,@,Green Bay Packers
2018-09-17,W,,Seattle Seahawks
2018-09-23,W,@,Arizona Cardinals
2018-09-30,W,,Tampa Bay Buccaneers
2018-10-14,L,@,Miami Dolphins
2018-10-21,L,,New England Patriots
2018-10-28,W,,New York Jets
2018-11-04,W,@,Buffalo Bills
2018-11-11,W,,Detroit Lions
2018-11-18,W,,Minnesota Vikings
2018-11-22,W,@,Detroit Lions
2018-12-02,L,@,New York Giants
2018-12-09,W,,Los Angeles Rams
2018-12-16,W,,Green Bay Packers
2018-12-23,W,@,San Francisco 49ers
2018-12-30,W,@,Minnesota Vikings
2019-09-05,L,,Green Bay Packers
2019-09-15,W,@,Denver Broncos
2019-09-23,W,@,Washington Redskins
2019-09-29,W,,Minnesota Vikings
2019-10-06,L,@,Oakland Raiders
2019-10-20,L,,New Orleans Saints
2019-10-27,L,,Los Angeles Chargers
2019-11-03,L,@,Philadelphia Eagles
2019-11-10,W,,Detroit Lions
2019-11-17,L,@,Los Angeles Rams
2019-11-24,W,,New York Giants
2019-11-28,W,@,Detroit Lions
2019-12-05,W,,Dallas Cowboys
2019-12-15,L,@,Green Bay Packers
2019-12-22,L,,Kansas City Chiefs
2019-12-29,W,@,Minnesota Vikings
2020-09-13,W,@,Detroit Lions
2020-09-20,W,,New York Giants
2020-09-27,W,@,Atlanta Falcons
2020-10-04,L,,Indianapolis Colts
2020-10-08,W,,Tampa Bay Buccaneers
2020-10-18,W,@,Carolina Panthers
2020-10-26,L,@,Los Angeles Rams
2020-11-01,L,,New Orleans Saints
2020-11-08,L,@,Tennessee Titans
2020-11-16,L,,Minnesota Vikings
2020-11-29,L,@,Green Bay Packers
2020-12-06,L,,Detroit Lions
2020-12-13,W,,Houston Texans
2020-12-20,W,@,Minnesota Vikings
2020-12-27,W,@,Jacksonville Jaguars
2020-01-03,L,,Green Bay Packers
2021-09-12,L,@,Los Angeles Rams
2021-09-19,W,,Cincinnati Bengals
2021-09-26,L,@,Cleveland Browns
2021-10-03,W,,Detroit Lions
2021-10-10,W,@,Las Vegas Raiders
2021-10-17,L,,Green Bay Packers
2021-10-24,L,@,Tampa Bay Buccaneers
2021-10-31,L,,San Francisco 49ers
2021-11-08,L,@,Pittsburgh Steelers
2021-11-21,L,,Baltimore Ravens
2021-11-25,W,@,Detroit Lions
2021-12-05,L,,Arizona Cardinals
2021-12-12,L,@,Green Bay Packers
2021-12-20,L,,Minnesota Vikings
2021-12-26,W,@,Seattle Seahawks
2021-01-02,W,,New York Giants
2021-01-09,L,@,Minnesota Vikings
2022-09-11,W,,San Francisco 49ers
2022-09-18,L,@,Green Bay Packers
2022-09-25,W,,Houston Texans
2022-10-02,L,@,New York Giants
2022-10-09,L,@,Minnesota Vikings
2022-10-13,L,,Washington Commanders
2022-10-24,W,@,New England Patriots
2022-10-30,L,@,Dallas Cowboys
2022-11-06,L,,Miami Dolphins
2022-11-13,L,,Detroit Lions
2022-11-20,L,@,Atlanta Falcons
2022-11-27,L,@,New York Jets
2022-12-04,L,,Green Bay Packers
2022-12-18,L,,Philadelphia Eagles
2022-12-24,L,,Buffalo Bills
2022-01-01,L,@,Detroit Lions
2022-01-08,L,,Minnesota Vikings
2023-09-10,L,,Green Bay Packers
2023-09-17,L,@,Tampa Bay Buccaneers
2023-09-24,L,@,Kansas City Chiefs
2023-10-01,L,,Denver Broncos
2023-10-05,W,@,Washington Commanders
2023-10-15,L,,Minnesota Vikings
2023-10-22,W,,Las Vegas Raiders
2023-10-29,L,@,Los Angeles Chargers
2023-11-05,L,@,New Orleans Saints
2023-11-09,W,,Carolina Panthers
